cp7,concelho,distrito
7830-000,serpa,beja
7750-104,mértola,beja
8005-073,faro,faro
8700-283,faro,faro
8000-136,faro,faro
8005-127,faro,faro
8000-000,faro,faro
8005-072,faro,faro
8005-298,faro,faro
8000-147,faro,faro
8600-000,lagos,faro
8600-269,lagos,faro
8600-265,lagos,faro
8600-647,lagos,faro
8100-659,loulé,faro
8100-000,loulé,faro
8125-463,loulé,faro
8100-645,loulé,faro
8125-000,loulé,faro
8125-161,loulé,faro
8125-155,loulé,faro
8700-000,olhão,faro
8700-045,olhão,faro
8700-168,olhão,faro
8700-229,olhão,faro
8700-244,olhão,faro
8365-000,silves,faro
8300-000,silves,faro
8800-436,tavira,faro
8800-000,tavira,faro
8800-465,tavira,faro
8500-517,portimão,faro
8500-000,portimão,faro
8500-301,portimão,faro
8500-516,portimão,faro
8500-295,portimão,faro
8500-079,portimão,faro
8500-838,portimão,faro
8500-713,portimão,faro
8400-000,lagoa (algarve),faro
8900-489,vila real de santo antónio,faro
8900-414,vila real de santo antónio,faro
8900-000,vila real de santo antónio,faro
4820-000,fafe,braga
4700-000,braga,braga
4700-249,braga,braga
4700-761,braga,braga
4710-358,braga,braga
4700-012,braga,braga
4720-000,amares,braga
4815-766,vizela,braga
4815-000,vizela,braga
4750-206,barcelos,braga
4750-000,barcelos,braga
4740-000,esposende,braga
4740-307,esposende,braga
4810-545,guimarães,braga
4765-469,guimarães,braga
4800-000,guimarães,braga
4835-024,guimarães,braga
4810-082,guimarães,braga
4730-714,vila verde,braga
4730-687,vila verde,braga
4730-000,vila verde,braga
4730-118,vila verde,braga
4830-000,póvoa de lanhoso,braga
4890-000,celorico de basto,braga
4765-631,vila nova de famalicão,braga
4760-000,vila nova de famalicão,braga
4765-000,vila nova de famalicão,braga
7000-773,évora,évora
7170-000,redondo,évora
7040-000,arraiolos,évora
7150-000,vila viçosa,évora
7160-000,vila viçosa,évora
7050-000,montemor-o-novo,évora
7200-000,reguengos de monsaraz,évora
7200-490,reguengos de monsaraz,évora
4425-131,maia,porto
4425-299,maia,porto
4425-244,maia,porto
4475-316,maia,porto
4470-000,maia,porto
4640-000,baião,porto
4000-000,porto,porto
4200-275,porto,porto
4100-467,porto,porto
4200-000,porto,porto
4200-300,porto,porto
4100-000,porto,porto
4200-402,porto,porto
4150-000,porto,porto
4150-073,porto,porto
4785-000,trofa,porto
4620-151,lousada,porto
4620-000,lousada,porto
4580-384,paredes,porto
4580-498,paredes,porto
4580-851,paredes,porto
4585-942,paredes,porto
4585-477,paredes,porto
4585-029,paredes,porto
4580-000,paredes,porto
4580-521,paredes,porto
4580-639,paredes,porto
4580-572,paredes,porto
4585-921,paredes,porto
4580-517,paredes,porto
4445-000,valongo,porto
4440-000,valongo,porto
4605-000,amarante,porto
4600-000,amarante,porto
4420-000,gondomar,porto
4435-726,gondomar,porto
4420-630,gondomar,porto
4435-064,gondomar,porto
4435-779,gondomar,porto
4435-000,gondomar,porto
4575-201,penafiel,porto
4560-000,penafiel,porto
4575-116,penafiel,porto
4560-842,penafiel,porto
4560-868,penafiel,porto
4560-830,penafiel,porto
4575-000,penafiel,porto
4615-000,felgueiras,porto
4610-719,felgueiras,porto
4615-352,felgueiras,porto
4610-000,felgueiras,porto
4450-716,matosinhos,porto
4460-757,matosinhos,porto
4460-092,matosinhos,porto
4465-065,matosinhos,porto
4460-808,matosinhos,porto
4460-000,matosinhos,porto
4465-000,matosinhos,porto
4450-169,matosinhos,porto
4465-705,matosinhos,porto
4450-450,matosinhos,porto
4450-397,matosinhos,porto
4450-000,matosinhos,porto
4465-034,matosinhos,porto
4455-160,matosinhos,porto
4450-409,matosinhos,porto
4465-050,matosinhos,porto
4780-000,santo tirso,porto
4485-967,vila do conde,porto
4480-000,vila do conde,porto
4480-739,vila do conde,porto
4495-595,póvoa de varzim,porto
4495-494,póvoa de varzim,porto
4490-000,póvoa de varzim,porto
4590-000,paços de ferreira,porto
4415-000,vila nova de gaia,porto
4415-567,vila nova de gaia,porto
4400-494,vila nova de gaia,porto
4400-000,vila nova de gaia,porto
4430-634,vila nova de gaia,porto
4413-302,vila nova de gaia,porto
4415-568,vila nova de gaia,porto
4410-315,vila nova de gaia,porto
4400-719,vila nova de gaia,porto
4405-000,vila nova de gaia,porto
4430-000,vila nova de gaia,porto
4415-294,vila nova de gaia,porto
4625-541,marco de canaveses,porto
4630-000,marco de canaveses,porto
4630-211,marco de canaveses,porto
3520-042,nelas,viseu
3520-000,nelas,viseu
3500-022,viseu,viseu
3515-475,viseu,viseu
3510-143,viseu,viseu
3510-792,viseu,viseu
3500-000,viseu,viseu
3510-215,viseu,viseu
3515-386,viseu,viseu
3500-462,viseu,viseu
3505-513,viseu,viseu
3510-588,viseu,viseu
5100-008,lamego,viseu
5100-000,lamego,viseu
5100-183,lamego,viseu
5100-020,lamego,viseu
5100-207,lamego,viseu
5100-007,lamego,viseu
4660-000,resende,viseu
3610-168,tarouca,viseu
3530-138,mangualde,viseu
3430-000,carregal do sal,viseu
3430-010,carregal do sal,viseu
3440-397,santa comba dão,viseu
3440-000,santa comba dão,viseu
3660-169,são pedro do sul,viseu
3660-000,são pedro do sul,viseu
3680-000,oliveira de frades,viseu
5130-000,são joão da pesqueira,viseu
3880-000,ovar,aveiro
3885-000,ovar,aveiro
3840-222,vagos,aveiro
3840-000,vagos,aveiro
3750-761,águeda,aveiro
3750-000,águeda,aveiro
3750-839,águeda,aveiro
3780-000,anadia,aveiro
4540-000,arouca,aveiro
3800-278,aveiro,aveiro
3810-000,aveiro,aveiro
3800-000,aveiro,aveiro
3810-330,aveiro,aveiro
3800-825,aveiro,aveiro
3830-000,ílhavo,aveiro
4500-000,espinho,aveiro
3050-000,mealhada,aveiro
3730-000,vale de cambra,aveiro
4550-000,castelo de paiva,aveiro
3770-000,oliveira do bairro,aveiro
3720-000,oliveira de azeméis,aveiro
3720-141,oliveira de azeméis,aveiro
3720-924,oliveira de azeméis,aveiro
3700-010,são joão da madeira,aveiro
3700-000,são joão da madeira,aveiro
4520-555,santa maria da feira,aveiro
4535-196,santa maria da feira,aveiro
4520-467,santa maria da feira,aveiro
4535-000,santa maria da feira,aveiro
4520-000,santa maria da feira,aveiro
4535-062,santa maria da feira,aveiro
6300-340,guarda,guarda
2425-000,leiria,leiria
2415-640,leiria,leiria
2420-075,leiria,leiria
2400-000,leiria,leiria
3105-561,pombal,leiria
3100-534,pombal,leiria
3100-130,pombal,leiria
3100-000,pombal,leiria
2520-000,peniche,leiria
2460-000,alcobaça,leiria
2475-000,alcobaça,leiria
2540-000,bombarral,leiria
2480-000,porto de mós,leiria
2485-000,porto de mós,leiria
2430-822,marinha grande,leiria
2430-000,marinha grande,leiria
2430-391,marinha grande,leiria
2500-000,caldas da rainha,leiria
2665-000,mafra,lisboa
2640-585,mafra,lisboa
2640-000,mafra,lisboa
2655-505,mafra,lisboa
1050-000,lisboa,lisboa
1950-422,lisboa,lisboa
1900-000,lisboa,lisboa
1950-418,lisboa,lisboa
1600-000,lisboa,lisboa
1000-000,lisboa,lisboa
1350-184,lisboa,lisboa
1990-307,lisboa,lisboa
1600-260,lisboa,lisboa
1950-017,lisboa,lisboa
1300-000,lisboa,lisboa
1800-000,lisboa,lisboa
1400-000,lisboa,lisboa
1750-491,lisboa,lisboa
1990-080,lisboa,lisboa
1250-000,lisboa,lisboa
1700-000,lisboa,lisboa
1600-369,lisboa,lisboa
1100-000,lisboa,lisboa
1750-213,lisboa,lisboa
1200-000,lisboa,lisboa
1750-382,lisboa,lisboa
1750-383,lisboa,lisboa
1500-000,lisboa,lisboa
2685-000,loures,lisboa
2695-749,loures,lisboa
2685-119,loures,lisboa
2670-000,loures,lisboa
2670-402,loures,lisboa
1990-105,loures,lisboa
1990-102,loures,lisboa
2780-000,oeiras,lisboa
2795-000,oeiras,lisboa
2635-000,sintra,lisboa
2725-000,sintra,lisboa
2710-000,sintra,lisboa
2745-376,sintra,lisboa
2715-770,sintra,lisboa
2715-000,sintra,lisboa
2745-000,sintra,lisboa
2715-147,sintra,lisboa
2735-000,sintra,lisboa
2605-000,sintra,lisboa
2720-754,amadora,lisboa
2720-824,amadora,lisboa
2720-000,amadora,lisboa
2700-000,amadora,lisboa
2720-823,amadora,lisboa
2779-513,cascais,lisboa
2765-000,cascais,lisboa
2785-354,cascais,lisboa
2785-000,cascais,lisboa
2750-000,cascais,lisboa
2765-004,cascais,lisboa
2775-000,cascais,lisboa
2580-000,alenquer,lisboa
2580-523,alenquer,lisboa
2580-540,alenquer,lisboa
2050-000,azambuja,lisboa
2050-453,azambuja,lisboa
2530-000,lourinhã,lisboa
2620-541,odivelas,lisboa
1685-555,odivelas,lisboa
2675-000,odivelas,lisboa
2675-223,odivelas,lisboa
2620-372,odivelas,lisboa
2565-000,torres vedras,lisboa
2560-000,torres vedras,lisboa
2630-000,arruda dos vinhos,lisboa
2600-407,vila franca de xira,lisboa
2625-736,vila franca de xira,lisboa
2615-000,vila franca de xira,lisboa
2600-536,vila franca de xira,lisboa
2625-000,vila franca de xira,lisboa
2600-000,vila franca de xira,lisboa
3070-000,mira,coimbra
3200-000,lousã,coimbra
3200-199,lousã,coimbra
3130-000,soure,coimbra
3420-000,tábua,coimbra
3150-350,penela,coimbra
3045-530,coimbra,coimbra
3045-414,coimbra,coimbra
3045-000,coimbra,coimbra
3040-031,coimbra,coimbra
3040-000,coimbra,coimbra
3030-258,coimbra,coimbra
3030-770,coimbra,coimbra
3045-409,coimbra,coimbra
3045-231,coimbra,coimbra
3040-012,coimbra,coimbra
3030-000,coimbra,coimbra
3000-000,coimbra,coimbra
3020-000,coimbra,coimbra
3060-021,cantanhede,coimbra
3060-356,cantanhede,coimbra
3060-000,cantanhede,coimbra
3150-000,condeixa-a-nova,coimbra
3080-304,figueira da foz,coimbra
3080-000,figueira da foz,coimbra
3080-217,figueira da foz,coimbra
3220-000,miranda do corvo,coimbra
3140-000,montemor-o-velho,coimbra
2835-000,moita,setúbal
2860-000,moita,setúbal
2825-000,almada,setúbal
2800-000,almada,setúbal
2810-000,almada,setúbal
2845-000,seixal,setúbal
